algorithm_version,doi,doi_resolver,evidence,free_fulltext_url,is_boai_license,is_free_to_read,is_subscription_journal,license,oa_color,title,url
2,10.1007/s11368-018-2005-4,crossref,open (via page says license),https://link.springer.com/content/pdf/10.1007%2Fs11368-018-2005-4.pdf,TRUE,TRUE,TRUE,cc-by,hybrid,"Form, function and physics: the ecology of biogenic stabilisation",https://doi.org/10.1007/s11368-018-2005-4
2,10.1111/soru.12215,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Economising the rural: how new markets and property rights transform rural economies,https://doi.org/10.1111/soru.12215
2,10.1007/s12195-018-0552-9,crossref,oa repository (via pmcid lookup),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6816592,FALSE,TRUE,TRUE,NA,green,Engineered Stochastic Adhesion Between Microbes as a Protection Mechanism Against Environmental Stress,https://doi.org/10.1007/s12195-018-0552-9
2,10.1016/j.quaint.2016.12.033,crossref,oa repository (via OAI-PMH doi match),https://espace.library.uq.edu.au/view/UQ:554104/UQ554104_OA.pdf,FALSE,TRUE,TRUE,NA,green,Moving past the ‘Neolithic problem’: The development and interaction of subsistence systems across northern Sahul,https://doi.org/10.1016/j.quaint.2016.12.033
2,10.1186/s13287-018-0971-5,crossref,open (via page says license),https://stemcellres.biomedcentral.com/track/pdf/10.1186/s13287-018-0971-5,TRUE,TRUE,FALSE,cc-by,gold,"Decellularized human ovarian scaffold based on a sodium lauryl ester sulfate (SLES)-treated protocol, as a natural three-dimensional scaffold for construction of bioengineered ovaries",https://doi.org/10.1186/s13287-018-0971-5
2,10.1080/00222933.2018.1537408,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The Picture of Dorian Gray: shell corrosion allows freshwater and brackish-water gastropods to masquerade as empty shells,https://doi.org/10.1080/00222933.2018.1537408
2,10.3390/toxins10090378,crossref,open (via page says license),https://www.mdpi.com/2072-6651/10/9/378/pdf,TRUE,TRUE,FALSE,cc-by,gold,The Streptococcus pneumoniae yefM-yoeB and relBE Toxin-Antitoxin Operons Participate in Oxidative Stress and Biofilm Formation,https://doi.org/10.3390/toxins10090378
2,10.1016/j.foreco.2018.04.051,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Tamm review: Tree interactions between myth and reality,https://doi.org/10.1016/j.foreco.2018.04.051
2,10.1016/j.jaa.2018.06.007,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The prevalence and importance of niche construction in agricultural development in Polynesia,https://doi.org/10.1016/j.jaa.2018.06.007
2,10.1016/j.ecocom.2018.04.004,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Ecosystems as Chimeras: A thought experiment in Rosennean Complexity,https://doi.org/10.1016/j.ecocom.2018.04.004
2,10.1007/s10329-018-0673-8,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Integrating expert knowledge and ecological niche models to estimate Mexican primates’ distribution,https://doi.org/10.1007/s10329-018-0673-8
2,10.1371/journal.pone.0203744,crossref,open (via page says license),https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0203744&type=printable,TRUE,TRUE,FALSE,cc-by,gold,Influence of construction and demolition waste on fitness and community structure of cicada nymphs: New bioindicators of soil pollution,https://doi.org/10.1371/journal.pone.0203744
2,10.5038/1827-806x.47.3.2208,crossref,open (via page says license),https://scholarcommons.usf.edu/cgi/viewcontent.cgi?article=2208&context=ijs,FALSE,TRUE,FALSE,cc-by-nc,gold,The role of mites in the construction and weathering of siliceous biospeleothems,https://doi.org/10.5038/1827-806x.47.3.2208
2,10.1111/1365-2435.13139,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The balance of canopy and soil effects determines intraspecific differences in foundation species’ effects on associated plants,https://doi.org/10.1111/1365-2435.13139
2,10.1111/oik.05215,crossref,open (via page says license),https://www.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/oik.05215,TRUE,TRUE,TRUE,cc-by,hybrid,Adaptive maternal behavioral plasticity and developmental programming mitigate the transgenerational effects of temperature in dung beetles,https://doi.org/10.1111/oik.05215
2,10.1111/modl.12496,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Language Learning Great and Small: Environmental Support Structures and Learning Opportunities in a Sociocognitive Approach to Second Language Acquisition/Teaching,https://doi.org/10.1111/modl.12496
2,10.1111/oik.05199,crossref,oa repository (via OAI-PMH doi match),https://www.zora.uzh.ch/id/eprint/151799/1/oik.05199.pdf,FALSE,TRUE,TRUE,NA,green,Plant life history stage and nurse age change the development of ecological networks in an arid ecosystem,https://doi.org/10.1111/oik.05199
2,10.1007/s12088-018-0726-0,crossref,oa repository (via pmcid lookup),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6023810,FALSE,TRUE,TRUE,NA,green,An Approach to In Silico Dissection of Bacterial Intelligence Through Selective Genomic Tools,https://doi.org/10.1007/s12088-018-0726-0
2,10.3391/ai.2018.13.3.05,crossref,oa journal (via doaj),https://doi.org/10.3391/ai.2018.13.3.05,TRUE,TRUE,FALSE,cc-by,gold,Do Singapore’s seawalls host non-native marine molluscs?,https://doi.org/10.3391/ai.2018.13.3.05
2,10.1098/rstb.2018.0253,crossref,open (via page says license),https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0253,TRUE,TRUE,TRUE,cc-by,hybrid,Can we identify general architectural principles that impact the collective behaviour of both human and animal systems?,https://doi.org/10.1098/rstb.2018.0253
2,10.1186/s12983-018-0277-6,crossref,oa journal (via doaj),https://doi.org/10.1186/s12983-018-0277-6,TRUE,TRUE,FALSE,cc-by,gold,Skeletomuscular adaptations of head and legs of Melissotarsus ants for tunnelling through living wood,https://doi.org/10.1186/s12983-018-0277-6
2,10.3390/su10082824,crossref,open (via page says license),https://www.mdpi.com/2071-1050/10/8/2824/pdf,TRUE,TRUE,FALSE,cc-by,gold,"Niche Evolution of China’s Provincial Social–Economic–Natural Complex Ecosystems, 2005–2015",https://doi.org/10.3390/su10082824
2,10.1080/00438243.2018.1527246,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Cultural heritage and climate adaptation: a cultural evolutionary perspective for the Anthropocene,https://doi.org/10.1080/00438243.2018.1527246
2,10.1007/s12304-018-9323-1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Semiotic Mechanisms Underlying Niche Construction,https://doi.org/10.1007/s12304-018-9323-1
2,10.1111/ecog.03457,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Quantifying the climatic niche of symbiont partners in a lichen symbiosis indicates mutualist-mediated niche expansions,https://doi.org/10.1111/ecog.03457
2,10.1007/s12304-018-9322-2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Biosemiotics, the Extended Synthesis, and Ecological Information: Making Sense of the Organism-Environment Relation at the Cognitive Level",https://doi.org/10.1007/s12304-018-9322-2
2,10.1007/s12304-018-9328-9,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Evolution by Meaning Attribution: Notes on Biosemiotic Interpretations of Extended Evolutionary Synthesis,https://doi.org/10.1007/s12304-018-9328-9
2,10.1016/j.geoderma.2018.02.040,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Good ant, bad ant? Soil engineering by ants in the Brazilian Caatinga differs by species",https://doi.org/10.1016/j.geoderma.2018.02.040
2,10.1007/s00248-017-1140-6,crossref,oa repository (via OAI-PMH doi match),https://digibug.ugr.es/bitstream/10481/58162/1/Ectoparasites%20and%20bacteria%20v3.pdf,FALSE,TRUE,TRUE,cc-by-nc-nd,green,Ectoparasite Activity During Incubation Increases Microbial Growth on Avian Eggs,https://doi.org/10.1007/s00248-017-1140-6
2,10.17159/2411-9717/2018/v118n8a13,crossref,open (via page says license),http://www.scielo.org.za/pdf/jsaimm/v118n8/15.pdf,TRUE,TRUE,FALSE,cc-by,gold,A preliminary qualitative evaluation of a hydraulic splitting cylinder for breaking rock in deep-level mining,https://doi.org/10.17159/2411-9717/2018/v118n8a13
2,10.1104/pp.18.00401,crossref,open (via free pdf),http://www.plantphysiol.org/content/plantphysiol/177/4/1650.full.pdf,FALSE,TRUE,TRUE,NA,bronze,The 6xABRE synthetic promoter enables the spatiotemporal analysis of ABA-mediated transcriptional regulation,https://doi.org/10.1104/pp.18.00401
2,10.3389/fpsyg.2018.01307,crossref,open (via page says license),https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01307/pdf,TRUE,TRUE,FALSE,cc-by,gold,Editorial: Affectivity Beyond the Skin,https://doi.org/10.3389/fpsyg.2018.01307
2,10.3897/natureconservation.28.25067,crossref,open (via free pdf),https://natureconservation.pensoft.net/article/25067/download/pdf/,FALSE,TRUE,FALSE,NA,gold,What is biological cultural heritage and why should we care about it? An example from Swedish rural landscapes and forests,https://doi.org/10.3897/natureconservation.28.25067
2,10.1080/17439760.2017.1291855,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Mind the gap: evolutionary psychological perspectives on human thriving,https://doi.org/10.1080/17439760.2017.1291855
2,10.1086/697471,crossref,oa repository (semantic scholar lookup),http://pdfs.semanticscholar.org/ad89/bce7d589318f5d96348c79595d2888dc65be.pdf,FALSE,TRUE,TRUE,NA,green,The Role of Pleiotropy in the Evolutionary Maintenance of Positive Niche Construction,https://doi.org/10.1086/697471
2,10.1371/journal.pcbi.1006340,crossref,open (via page says license),https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006340&type=printable,TRUE,TRUE,FALSE,cc-by,gold,An enormous potential for niche construction through bacterial cross-feeding in a homogeneous environment,https://doi.org/10.1371/journal.pcbi.1006340
2,10.1111/nph.15164,crossref,open (via free article),https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15164,FALSE,TRUE,TRUE,NA,bronze,Lifestyle of the biotroph Agrobacterium tumefaciens in the ecological niche constructed on its host plant,https://doi.org/10.1111/nph.15164
2,10.1016/j.pbiomolbio.2017.12.003,crossref,"open (via crossref license, author manuscript)",https://manuscript.elsevier.com/S0079610717302304/pdf/S0079610717302304.pdf,FALSE,TRUE,TRUE,elsevier-specific: oa user license,hybrid,Terminal addition in a cellular world,https://doi.org/10.1016/j.pbiomolbio.2017.12.003
2,10.1016/j.actbio.2018.04.047,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Construction of tendon replacement tissue based on collagen sponge and mesenchymal stem cells by coupled mechano-chemical induction and evaluation of its tendon repair abilities,https://doi.org/10.1016/j.actbio.2018.04.047
2,10.14198/inturi2018.16.03,crossref,open (via page says license),http://rua.ua.es/dspace/bitstream/10045/84548/1/Investigaciones-Turisticas_16_03.pdf,TRUE,TRUE,FALSE,cc-by,gold,"Análisis interpretativo del impacto del turismo en el patrimonio cultural artesanal. Tepoztlán, México",https://doi.org/10.14198/inturi2018.16.03
2,10.3354/meps12596,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Sensitivity of a fish time-series analysis to guild construction: a case study of the Mullica River-Great Bay ecosystem,https://doi.org/10.3354/meps12596
2,10.3791/57235,crossref,oa repository (semantic scholar lookup),http://pdfs.semanticscholar.org/e95d/e3981a7afaf5d8069b297f242e203ffdb552.pdf,FALSE,TRUE,TRUE,NA,green,Fabrication of Tongue Extracellular Matrix and Reconstitution of Tongue Squamous Cell Carcinoma <em>In Vitro</em>,https://doi.org/10.3791/57235
2,10.18510/hssr.2018.627,crossref,open (via free pdf),https://giapjournals.com/index.php/hssr/article/download/hssr.2018.627/580,FALSE,TRUE,TRUE,NA,bronze,EXAMINING TURNOVER ISSUE IN THE CONSTRUCTION COMPANIES OF OMAN: EMPLOYEES’ PERSPECTIVE,https://doi.org/10.18510/hssr.2018.627
2,10.3389/fpsyg.2018.00931,crossref,open (via page says license),https://www.frontiersin.org/articles/10.3389/fpsyg.2018.00931/pdf,TRUE,TRUE,FALSE,cc-by,gold,Spontaneous Cognition and Epistemic Agency in the Cognitive Niche,https://doi.org/10.3389/fpsyg.2018.00931
2,10.1063/1.5041129,crossref,open (via free pdf),https://aip.scitation.org/doi/pdf/10.1063/1.5041129,FALSE,TRUE,TRUE,NA,bronze,Plant landscape design simulating natural community by using AHP method based on TWINSPAN classification,https://doi.org/10.1063/1.5041129
2,10.1016/j.jaa.2018.05.001,crossref,oa repository (via OAI-PMH doi match),http://centaur.reading.ac.uk/77826/1/Watling%20et%20al.%202018%20JAA.pdf,FALSE,TRUE,TRUE,NA,green,"Historical ecology, human niche construction and landscape in pre-Columbian Amazonia: A case study of the geoglyph builders of Acre, Brazil",https://doi.org/10.1016/j.jaa.2018.05.001
2,10.1007/s10816-017-9346-y,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Cultural Niche Construction and Remote Sensing of Ancient Anthropogenic Environmental Change in the North Coast of Peru,https://doi.org/10.1007/s10816-017-9346-y
2,10.1016/j.jaa.2018.03.002,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"New tools, new human niches: The significance of the Dalton adze and the origin of heavy-duty woodworking in the Middle Mississippi Valley of North America",https://doi.org/10.1016/j.jaa.2018.03.002
2,10.1007/s11245-016-9419-7,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,An Updated Evolutionary Research Programme for the Evolution of Language,https://doi.org/10.1007/s11245-016-9419-7
2,10.1007/s11692-017-9438-3,crossref,oa repository (via OAI-PMH title and first author match),https://philpapers.org/archive/FBRHTO.pdf,FALSE,TRUE,TRUE,NA,green,"Hierarchy Theory of Evolution and the Extended Evolutionary Synthesis: Some Epistemic Bridges, Some Conceptual Rifts",https://doi.org/10.1007/s11692-017-9438-3
2,10.1002/ece3.4070,crossref,oa journal (via doaj),https://doi.org/10.1002/ece3.4070,TRUE,TRUE,FALSE,cc-by,gold,Gene(s) and individual feeding behavior: Exploring eco-evolutionary dynamics underlying left-right asymmetry in the scale-eating cichlid fish Perissodus microlepis ,https://doi.org/10.1002/ece3.4070
2,10.1016/j.trac.2018.03.016,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,(Bio)Analytical chemistry enabled by 3D printing: Sensors and biosensors,https://doi.org/10.1016/j.trac.2018.03.016
2,10.1515/cog-2016-0025,crossref,oa repository (via OAI-PMH doi match),https://www.research.manchester.ac.uk/portal/files/70129362/the_changing_functions_of_competing_forms_final.pdf,FALSE,TRUE,TRUE,NA,green,The changing functions of competing forms: Attraction and differentiation,https://doi.org/10.1515/cog-2016-0025
2,10.1016/j.fluid.2018.02.013,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The application of high-dimensional sparse grids in flash calculations: From theory to realisation,https://doi.org/10.1016/j.fluid.2018.02.013
2,10.3389/fmicb.2018.01025,crossref,open (via page says license),https://www.frontiersin.org/articles/10.3389/fmicb.2018.01025/pdf,TRUE,TRUE,FALSE,cc-by,gold,The F1Fo-ATP Synthase β Subunit Is Required for Candida albicans Pathogenicity Due to Its Role in Carbon Flexibility,https://doi.org/10.3389/fmicb.2018.01025
2,10.3390/f9050255,crossref,open (via page says license),https://www.mdpi.com/1999-4907/9/5/255/pdf,TRUE,TRUE,FALSE,cc-by,gold,"Perceptions on the Importance of Forest Sector Innovations: Biofuels, Biomaterials, or Niche Products?",https://doi.org/10.3390/f9050255
2,10.1371/journal.pone.0198163,crossref,open (via page says license),https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198163&type=printable,TRUE,TRUE,FALSE,cc-by,gold,Competition and niche construction in a model of cancer metastasis,https://doi.org/10.1371/journal.pone.0198163
2,10.1016/j.pbiomolbio.2017.11.005,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Biological information systems: Evolution as cognition-based information management,https://doi.org/10.1016/j.pbiomolbio.2017.11.005
2,10.3390/min8050199,crossref,open (via page says license),https://www.mdpi.com/2075-163X/8/5/199/pdf,TRUE,TRUE,FALSE,cc-by,gold,Acid Rock Drainage or Not—Oxidative vs. Reductive Biofilms—A Microbial Question,https://doi.org/10.3390/min8050199
2,10.1016/j.envsci.2018.02.004,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,A diagnostic framework of strategic agency: Operationalising complex interrelationships of agency and institutions in the urban infrastructure sector,https://doi.org/10.1016/j.envsci.2018.02.004
2,10.1016/j.geomorph.2018.02.005,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Channel heads in mountain catchments subject to human impact – The Skrzyczne range in Southern Poland,https://doi.org/10.1016/j.geomorph.2018.02.005
2,10.1016/j.desal.2017.09.003,crossref,oa repository (via OAI-PMH doi match),http://dro.dur.ac.uk/23263/1/23263.pdf,FALSE,TRUE,TRUE,cc-by-nc-nd,green,Analysis of the influence of module construction upon forward osmosis performance,https://doi.org/10.1016/j.desal.2017.09.003
2,10.3119/17-11,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The Rare Southern Twayblade (Neottia bifolia): Sentinel of Ecosystem Integrity For Sphagnous Swamps,https://doi.org/10.3119/17-11
2,10.1007/s11229-018-1756-1,crossref,open (via page says license),https://link.springer.com/content/pdf/10.1007%2Fs11229-018-1756-1.pdf,TRUE,TRUE,TRUE,cc-by,hybrid,Enactment and construction of the cognitive niche: toward an ontology of the mind-world connection,https://doi.org/10.1007/s11229-018-1756-1
2,10.1016/j.geomorph.2017.09.016,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Niche construction within riparian corridors. Part II: The unexplored role of positive intraspecific interactions in Salicaceae species,https://doi.org/10.1016/j.geomorph.2017.09.016
2,10.1016/j.geomorph.2017.08.048,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,"Niche construction within riparian corridors. Part I: Exploring biogeomorphic feedback windows of three pioneer riparian species (Allier River, France)",https://doi.org/10.1016/j.geomorph.2017.08.048
2,10.1093/beheco/arx180,crossref,open (via free pdf),https://academic.oup.com/beheco/article-pdf/29/2/289/24353677/arx180.pdf,FALSE,TRUE,TRUE,NA,bronze,Pervasive indirect genetic effects on behavioral development in polymorphic eastern mosquitofish,https://doi.org/10.1093/beheco/arx180
2,10.1007/s11245-018-9546-4,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Precise Worlds for Certain Minds: An Ecological Perspective on the Relational Self in Autism,https://doi.org/10.1007/s11245-018-9546-4
2,10.1051/e3sconf/20183302048,crossref,open (via page says license),https://www.e3s-conferences.org/articles/e3sconf/pdf/2018/08/e3sconf_hrc2018_02048.pdf,TRUE,TRUE,FALSE,cc-by,gold,Comparison of Thermal Stability of Dry High-strength Concrete and Wet High-strength Concrete,https://doi.org/10.1051/e3sconf/20183302048
2,10.1088/1748-9326/aa9ead,crossref,open (via page says license),https://iopscience.iop.org/article/10.1088/1748-9326/aa9ead/pdf,TRUE,TRUE,FALSE,cc-by,gold,Biological and geophysical feedbacks with fire in the Earth System,https://doi.org/10.1088/1748-9326/aa9ead
2,10.1111/jtsb.12157,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,The evolution of Homo Discens : natural selection and human learning,https://doi.org/10.1111/jtsb.12157
2,10.1128/mbio.00319-18,crossref,open (via page says license),https://mbio.asm.org/content/mbio/9/2/e00319-18.full.pdf,TRUE,TRUE,FALSE,cc-by,gold,Allometry and Ecology of the Bilaterian Gut Microbiome,https://doi.org/10.1128/mbio.00319-18
2,10.1038/s41396-017-0006-8,crossref,open (via free pdf),https://www.nature.com/articles/s41396-017-0006-8.pdf,FALSE,TRUE,TRUE,NA,bronze,The fungus that came in from the cold: dry rot’s pre-adapted ability to invade buildings,https://doi.org/10.1038/s41396-017-0006-8
2,10.1007/s11692-017-9431-x,crossref,open (via page says license),https://link.springer.com/content/pdf/10.1007%2Fs11692-017-9431-x.pdf,TRUE,TRUE,TRUE,cc-by,hybrid,On Reciprocal Causation in the Evolutionary Process,https://doi.org/10.1007/s11692-017-9431-x
2,10.1016/j.ppees.2017.06.005,crossref,oa repository (via OAI-PMH doi match),https://munin.uit.no/bitstream/10037/12423/2/article.pdf,FALSE,TRUE,TRUE,NA,green,Gatekeepers to the effects of climate warming? Niche construction restricts plant community changes along a temperature gradient,https://doi.org/10.1016/j.ppees.2017.06.005
2,10.1007/s11442-018-1464-2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Spatial restructuring and land consolidation of urban-rural settlement in mountainous areas based on ecological niche perspective,https://doi.org/10.1007/s11442-018-1464-2
2,10.1007/s00040-017-0589-0,crossref,oa repository (via OAI-PMH doi match),http://eprints.iisc.ac.in/58938/1/Ins_Soc_65_77-84_2018.pdf,FALSE,TRUE,TRUE,NA,green,Evidence from Mid-Infrared Spectroscopy (MIRS) that the biochemical fingerprints of Odontotermes obesus colonies change according to their geographical location and age,https://doi.org/10.1007/s00040-017-0589-0
2,10.1016/j.jclepro.2017.05.111,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Wind characterization in Taranto city as a basis for innovative sustainable urban development,https://doi.org/10.1016/j.jclepro.2017.05.111
2,10.3390/su10010229,crossref,open (via page says license),https://www.mdpi.com/2071-1050/10/1/229/pdf,TRUE,TRUE,FALSE,cc-by,gold,From Waste Management to Component Management in the Construction Industry,https://doi.org/10.3390/su10010229
2,10.3389/fpsyg.2017.02294,crossref,open (via page says license),https://www.frontiersin.org/articles/10.3389/fpsyg.2017.02294/pdf,TRUE,TRUE,FALSE,cc-by,gold,Affordances and Landscapes: Overcoming the Nature–Culture Dichotomy through Niche Construction Theory,https://doi.org/10.3389/fpsyg.2017.02294
2,10.1146/annurev-marine-121916-063249,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Remote Sensing Tropical Coral Reefs: The View from Above,https://doi.org/10.1146/annurev-marine-121916-063249
2,10.1080/17508487.2016.1167756,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Neoliberal contradictions in two private niches of educational ‘choice’,https://doi.org/10.1080/17508487.2016.1167756
2,10.1098/rsif.2017.0685,crossref,open (via page says license),https://royalsocietypublishing.org/doi/pdf/10.1098/rsif.2017.0685,TRUE,TRUE,TRUE,cc-by,hybrid,A variational approach to niche construction,https://doi.org/10.1098/rsif.2017.0685
2,10.1007/82_2018_83,crossref,NA,NA,FALSE,FALSE,TRUE,NA,closed,Niche Construction and Exploitation by Agrobacterium: How to Survive and Face Competition in Soil and Plant Habitats,https://doi.org/10.1007/82_2018_83
2,10.15451/ec2018-04-7.7-1-6,crossref,open (via free pdf),http://ethnobioconservation.com/index.php/ebc/article/download/120/192,FALSE,TRUE,TRUE,NA,bronze,Theories of Niche Construction and Optimal Foraging: weaknesses and virtues in understanding the early stages of domestication,https://doi.org/10.15451/ec2018-04-7.7-1-6
